131	0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40	101,500.89607989 Ether	0.08528956%	62
135	0x9e927c02c9eadae63f5efb0dd818943c7262fb8e	100,542.13391648 Ether	0.08448393%	95
145	0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd	99,454.6193781 Ether	0.08357011%	171
146	0x999e77c988c4c1451d3b1c104a6cca7813a9946e	99,272.34836012 Ether	0.08341695%	55
148	0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9	98,134.84097476 Ether	0.08246112%	52
151	0x629e7da20197a5429d30da36e77d06cdf796b71a	93,750.62308981 Ether	0.07877713%	121
154	0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042	91,578.60808754 Ether	0.07695202%	71
155	0x368d43c23843ca9b49dc861d80251bda6a090367	91,578.60808754 Ether	0.07695202%	78
156	0x79f67f689b9925710d4dda2a39d680e9cea61c81	91,578.60808754 Ether	0.07695202%	68
157	0x84bf16e7675cee22d0e0302913ccf58b45333ddf	91,513.81037854 Ether	0.07689757%	119
158	0x282edab8a933bc1c02649fe3ea2842ecbe9928a7	89,506.11659497 Ether	0.07521054%	53
159	0xf443864ba5d5361bbc54298551067194f980a635	88,550.71947443 Ether	0.07440774%	122
160	0xb4f4317b7885de16305d1303570879c21f378255	87,824.96957799 Ether	0.07379790%	120
161	0x3bc643a841915a267ee067b580bd802a66001c1d	86,515.55090063 Ether	0.07269762%	315
164	0x2d1566722288be5525b548a642c98b546f116aa0	85,502.32316982 Ether	0.07184622%	119
167	0x084ef8564b4f75a70b7ad5e8aabf73edac005397	84,581.8142222 Ether	0.07107273%	116
168	0xcac9c634b4464efe71a9a5910edba06686baf457	84,043.83813318 Ether	0.07062068%	117
169	0xb3764761e297d6f121e79c32a65829cd1ddb4d32	3,017.20927198 Ether	0.06975802%	65
170	0x7f3a1e45f67e92c880e573b43379d71ee089db54	81,497.72414192 Ether	0.06848122%	120
189	0xa463597d49f54fe6a811fb894cbd67c7f92852b0	76,779.44256847 Ether	0.06451652%	63
190	0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d	76,779.44256847 Ether	0.06451652%	65
191	0x6e414cfad874d8ee716ea0299d40011207c907b8	76,779.44256847 Ether	0.06451652%	72
192	0x19bf56fca395a600c20f732b05757f30ad24a719	76,779.44256847 Ether	0.06451652%	67
193	0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b	76,779.44256847 Ether	0.06451652%	62
194	0xff2ac8c5834a7585fcc97edb8ba2431c4beab487	76,779.44256847 Ether	0.06451652%	59
195	0x4ed97d6470f5121a8e02498ea37a50987da0eec0	76,779.44256847 Ether	0.06451652%	97
196	0xca0a044400c1fa857e4cd0c95d86376b85659303	76,628.59278015 Ether	0.06438977%	1971
199	0x36b6751586614d647d8a3f495e82bdcf250914c8	75,112.26120219 Ether	0.06311562%	62
201	0xb60c61dbb7456f024f9338c739b02be68e3f545c	74,539.9618311 Ether	0.06263471%	2555
204	0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461	70,032.18349979 Ether	0.05884690%	56
205	0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a	70,032.18349979 Ether	0.05884690%	58
206	0xf196c023de1f19d6529133759f449c4b01ce0f51	70,032.18349979 Ether	0.05884690%	55
207	0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb	70,032.18349979 Ether	0.05884690%	66
208	0x303c741bb15c9c4b1c72320f6df702b32da80519	70,032.18349979 Ether	0.05884690%	71
209	0xe93fc974908003faddf0bd972b05b6494368d3f5	70,032.18349979 Ether	0.05884690%	60
213	0xac08f21ef597a51865d69896f09b52472acde80d	69,393.36406281 Ether	0.05831011%	64
219	0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c	66,150.970264 Ether	0.05558558%	115
