from,to,gasPrice,gasUsed,value,timeStamp,label
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x303c1cbbd568e36eb0b706bf121f5fbbacd63e42,9000000000,21000,57471264367816092,1543077286,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xcdfc63fb15d064a149b94f55e4221316dda0c92b,8000000000,21000,489476260401370534,1543052560,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xf9acdeeb74fc4f2bc68974aae1eeab1d5cbb2f27,6600000000,21000,97600650671004473,1543051039,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xf9acdeeb74fc4f2bc68974aae1eeab1d5cbb2f27,7000000000,21000,99518991540885719,1542999060,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xcdfc63fb15d064a149b94f55e4221316dda0c92b,13000000000,21000,485319090000000000,1542972867,0
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xcdfc63fb15d064a149b94f55e4221316dda0c92b,7000000000,21000,454063871651278947,1542908995,0
0x6b7bdfb2442af59857133749d40a2725f9c4eeab,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,41000000000,21000,808468005312465354,1542900882,1
0x243bec9256c9a3469da22103891465b47583d9f1,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,20000000000,21000,358637180000000000,1542900651,1
0x59a5208b32e627891c389ebafc644145224006e8,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,10000000000,21000,424051500000000000,1542900537,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0xd9a1fe8b4d6de4f41c8a1b6ad3b6457916e546b4,41000000000,36722,0,1541880458,0
0x1a2c9c848d9e9df10d45dd736fde9910d21e56b9,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,6000000000,21000,312564450000000000,1541865604,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x74098f43c18eb1dd21a36bcecd0bca10363309e0,9000000000,21000,55129554452964467,1541250942,0
0x256979bb8f870c6c2f6caf31370175241f8b6832,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,4000000000,21000,35068380000000000,1541250606,1
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,0x1be5af8715eb930812c7703099f8a73298a1e8f1,4100000000,21000,10002460000000000,1541239073,0
