address,nodes,edges,n_edges_incoming,n_edges_outcoming,percentage_incoming,percentage_outcoming,total_weight_in,total_weight_out
0xb4f4317b7885de16305d1303570879c21f378255,53,120,120,0,100.0,0.0,3554862976.0767603,0
0x3bc643a841915a267ee067b580bd802a66001c1d,30,315,237,78,75.23809523809524,24.76190476190476,715013348.073641,503153576.4
0xe4f4866437513e7e023fb3933ba43045312b7459,4,8,1,7,12.5,87.5,1327429429.889927,1611156.0
0x2d1566722288be5525b548a642c98b546f116aa0,54,119,119,0,100.0,0.0,895845918.6862683,0
0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,4,4,2,2,50.0,50.0,268866000.0268866,40329900.0
0x7e6ea81a68a2af50f64a37b3d6e50b1abb796da8,3,152,152,0,100.0,0.0,327969524.54773676,0
0x084ef8564b4f75a70b7ad5e8aabf73edac005397,52,116,116,0,100.0,0.0,2911521239.891573,0
0xcac9c634b4464efe71a9a5910edba06686baf457,53,117,117,0,100.0,0.0,1322571537.9927082,0
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,35,65,51,14,78.46153846153847,21.538461538461533,591.0088079293412,188217285.6
0x7f3a1e45f67e92c880e573b43379d71ee089db54,43,120,3,117,2.5,97.5,0.0268447,50080975.45345053
0xb46427e2cddecb0bde40bf402361effddd4401e2,4,3,3,0,100.0,0.0,218558110.32214028,0
0x37e3bc492735d3d84f2b126cffaf4f0a95bff049,3,10,1,9,10.0,90.0,216415233.392482,0.0
0x1085b9c6e43895cc441ba1840b940ef786683785,3,4,3,1,75.0,25.0,214638378.0813,134.1485
0x677f887fae0873bcf7e800f77bc7643063c7dece,3,4,3,1,75.0,25.0,214654378.0993,134.1585
0x28973c01a23a002e8c40dc123858fd2122e50f87,3,4,3,1,75.0,25.0,214654109.8023,268.5605
0x583197dccce7e295525acfa016eabe1b25becbc6,3,4,3,1,75.0,25.0,214954110.5148,134.346
0x46fde20dfde85c8c169e8823b6f615146674103e,3,4,3,1,75.0,25.0,214876510.3305,134.2975
0x7d783603bd1caed3cdb8e734a50fb35df1f1da7a,3,4,3,1,75.0,25.0,214876510.3305,134.2975
0x58c1655ee5c109bf69715411dc32338e40a54c46,4,4,3,1,75.0,25.0,215043683.84719998,268.5605
